district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
ilaahaabaad,AC262_S24A262P010, 10raajakeey baalikaa intar kaalej phaaphaamaoo dakshinee bhaag-3 ,ilaahaabaad ,ilaahaabaad,raajakeey baalikaa intar kaalej phaaphaamaoo dakshinee bhaag3
aajamagadh,AC351_S24A351P011, 11praa00avi൦ mah൒avaaree kaksh-൯ ,mah൒avaaree ,mahavaaree,praa00avi mahavaaree kaksh
aleegadh,AC073_S24A073P197, 197praaimaree skool doodhamaa k൦nam൦  -२,dadhamaa ,dadhamaa,praaimaree skool doodhamaa knam
aleegadh,AC077_S24A077P373, 373praa0 skool jeevanapur ,SRN ANG ,srn ang,praa0 skool jeevanapur
haradooee,AC157_S24A157P322, 322praa0apaa൦ thookakhaalaa k0anam൦  २,thookakhaalaa ,thookakhaalaa,praa0apaa thookakhaalaa k0anam
baaraabamkee,AC267_S24A267P042, 42praa0 vi0 laalapur karaathaa kaksh sam0  2,kuthaloopur ,kuthaloopur,praa0 vi0 laalapur karaathaa sam0
aajamagadh,AC351_S24A351P322, 322praa0avi0 salemapur kaksh-2 ,jiganee ,jiganee,praa0avi0 salemapur kaksh2
barelee,AC126_S24A126P231, 231praa0apaa0 goothaa Wess HO ato  1,goothaa khan‍duaa ,goothaa khanduaa,praa0apaa0 goothaa wess ho ato
kannouj,AC197_S24A197P004, 4praa0apaa0 nayaa bhavan sourikh ,sourikh ,sourikh,praa0apaa0 nayaa sourikh
haapud,AC059_S24A059P281, 281navabhaarath uchchathar maa0avi0 chhapakoulee k0an0  2,chhapakoulee ,chhapakoulee,navabhaarath uchchathar maa0avi0 chhapakoulee k0an0
basthee,AC307_S24A307P421, 421praathamik vidyaalay khamhariyaagamgaaraam ,paneraabhaaree ,paneraabhaaree,praathamik vidyaalay khamhariyaagamgaaraam
auraiyaa,AC202_S24A202P113, 113praaevi൦ khaanajahaapur chhichirakuaa k0an൦  2,khaamnajahaapur chirakuaa ,khaamnajahaapur chirakuaa,praaevi khaanajahaapur chhichirakuaa k0an
kousaambee,AC253_S24A253P078, 78praa0avi0 mirjaapur gous poo0 bhaag ,WAG uparahaar ,wag uparahaar,praa0avi0 mirjaapur gous poo0 bhaag
phararookhaabaad,AC195_S24A195P214, 214medhaasyaamapur ,medhaa syaamapur ,medhaa syaamapur,medhaasyaamapur
merath,AC047_S24A047P345, 345kanoohar laal gals iam0akaa0 saaketh k0anam-3 ,INO ,ino,kanoohar laal gals iam0akaa0 saaketh k0anam3
amethee,AC185_S24A185P045, 45praa0 paa0 jaakhaasivapur kaksh sam൦  1,jaakhaa sivapur ,jaakhaa sivapur,praa0 paa0 jaakhaasivapur sam
gaajeepur,AC375_S24A375P257, 257sarasvathee sisu mandir navaabagamj sthith chehalasathun k0an04 ,gaajeepur ,gaajeepur,sarasvathee sisu navaabagamj chehalasathun k0an04
merath,AC045_S24A045P122, 122praa0 vi0 kudee kamaalapur ,Hel HAM ,hel ham,praa0 vi0 kudee kamaalapur
bhadoohee,AC392_S24A392P294, 294em൦ae൦ samad iamtar kaalej bhadoohee uththaree chhoor ,bhadoohee ,bhadoohee,emae samad iamtar kaalej bhadoohee uththaree chhoor
mahaaraajagamj,AC318_S24A318P374, 374praa0avi0agoopaalaa k0anam൦2 ,goopaalaa ,goopaalaa,praa0avi0agoopaalaa k0anam2
gaajeepur,AC376_S24A376P013, 13praa0 paa0 koor (poo൦achhoor ,koor ,koor,praa0 paa0 koor pooachhoor
baliyaa,AC363_S24A363P128, 128praa0apaa0 raamapur misr sthith jagadevaa p0 ,jagadevaa ,jagadevaa,praa0apaa0 raamapur misr jagadevaa p0
baagapath,AC052_S24A052P246, 246harijan choupaal athi saamkaroooud ,saakaroumd ,saakaroumd,harijan choupaal athi saamkaroooud
barelee,AC124_S24A124P019, 19gulaabaraay i൦ kaalej k0anam:൪൦  १,barelee ,barelee,gulaabaraay i kaalej k0anam
ilaahaabaad,AC258_S24A258P155, 155pamchaayathaghar kukudaa d0abhaag ,kukudhaa ,kukudhaa,pamchaayathaghar kukudaa d0abhaag
goondaa,AC297_S24A297P179, 179pamchaayath ghar banagaav k൦ n൦  01,banagaamv ,banagaamv,pamchaayath banagaav k n 01
amethee,AC185_S24A185P245, 245praa0 paa0 nevaadaakisunagadh kaksh sam01 ,nevaadaakasunagadh ,nevaadaakasunagadh,praa0 paa0 nevaadaakisunagadh sam01
barelee,AC120_S24A120P019, 19praa0 paa0 kaavarakhaas k0 n0  1,seragadh ,seragadh,praa0 paa0 kaavarakhaas k0 n0
etaa,AC103_S24A103P319, 319praa0apaa൦ vichapuree imaadapur ,vichapuree imaadapur ,vichapuree imaadapur,praa0apaa vichapuree imaadapur
baagapath,AC050_S24A050P301, 301praaeemaree paathasaalaa sirasalagadh ,sirasal darakaavadaa ,sirasal darakaavadaa,praaeemaree paathasaalaa sirasalagadh
aajamagadh,AC352_S24A352P117, 117praa0avi0 rahilaa ,rahilaa ,rahilaa,praa0avi0 rahilaa
gaajeepur,AC375_S24A375P294, 294praa0apaa0 chakamubaarak moohiuddeen urph jamjeerapur ,chakamubaarak ,chakamubaarak,praa0apaa0 chakamubaarak moohiuddeen urph jamjeerapur
sulthaanapur,AC187_S24A187P297, 297praa൦avi൦ narahee ,axel ,axel,praaavi narahee
phathehapur,AC242_S24A242P196, 196praa0avi0 aleemaoo majare maoopaaraa kaksh sam0  2,maoopaaraa ,maoopaaraa,praa0avi0 aleemaoo majare maoopaaraa sam0
lakhanaoo,AC174_S24A174P087, 87kaalej aaph teechar ejukesanal see0atee0aee0 kaksh samkhyaa-1 ,lakhanaoo ,lakhanaoo,kaalej aaph teechar ejukesanal see0atee0aee0 samkhyaa1
jounapur,AC364_S24A364P091, 91praa0avi0 saahapur saanee ,saahapur saahanee ,saahapur saahanee,praa0avi0 saahapur saanee
NA,AC096_S24A096P310, 310praapaa.chidaraee khaas kas  २,NA,NA,praapaachidaraee khaas kas
